Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,DST_V28_SunSynchronous_Var_Alb : TMD : DST_FINAL_DST_V28_SUNSYN,Data Source,DST_V28_SunSynchronous_Var_Alb : TMD : DST_FINAL_DST_V28_SUNSYN,Data Source,DST_V28_SunSynchronous_Var_Alb : TMD : DST_FINAL_DST_V28_SUNSYN,Data Source,DST_V28_SunSynchronous_Var_Alb : TMD : DST_FINAL_DST_V28_SUNSYN,Data Source,DST_V28_SunSynchronous_Var_Alb : TMD : DST_FINAL_DST_V28_SUNSYN,Data Source,DST_V28_SunSynchronous_Var_Alb : TMD : DST_FINAL_DST_V28_SUNSYN,Data Source,DST_V28_SunSynchronous_Var_Alb : TMD : DST_FINAL_DST_V28_SUNSYN,Data Source,DST_V28_SunSynchronous_Var_Alb : TMD : DST_FINAL_DST_V28_SUNSYN
Element,2846,Element,2854,Element,2866,Element,2874,Element,BAF_Shell_IB:surface1,Element,BAF_Shell_IM:surface2,Element,BAF_Shell_OB:surface2,Element,BAF_Shell_OM:surface1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature
0.0,-85.4860904872475,0.0,-87.53594136677908,0.0,-89.2620005118956,0.0,-80.54495218158729,0.0,-1.2101149627718186,0.0,-11.881922628661297,0.0,-147.65356468217018,0.0,-86.05193726677412
70.93220520019531,-85.64201996334586,70.93220520019531,-87.6173972546962,70.93220520019531,-89.26526467855246,70.93220520019531,-80.96027559655008,70.93220520019531,-1.2639549959720562,70.93220520019531,-12.051889322540115,70.93220520019531,-148.05594082840636,70.93220520019531,-86.22711036972996
141.86441040039062,-85.79141885881523,141.86441040039062,-87.69556845652802,141.86441040039062,-89.26840039826406,141.86441040039062,-81.35684335821037,141.86441040039062,-1.3190567047693962,141.86441040039062,-12.217255718114743,141.86441040039062,-148.45312348986496,141.86441040039062,-86.3945590827787
212.79661560058594,-85.93454167382221,212.79661560058594,-87.77057360786348,212.79661560058594,-89.27141203078975,212.79661560058594,-81.73552164836379,212.79661560058594,-1.3748257273698128,212.79661560058594,-12.379720330663158,212.79661560058594,-148.84532451141632,212.79661560058594,-86.55462348573087
283.72882080078125,-86.07167174185942,283.72882080078125,-87.84254770761684,283.72882080078125,-89.27430462917265,283.72882080078125,-82.09723262287285,283.72882080078125,-1.4313180475500356,283.72882080078125,-12.539075594437469,283.72882080078125,-149.2326344454348,283.72882080078125,-86.70767003598023
354.66102600097656,-86.20307114349062,354.66102600097656,-87.91161585774425,354.66102600097656,-89.27708288457946,354.66102600097656,-82.44282304576642,354.66102600097656,-1.4884899195706385,354.66102600097656,-12.69542714028745,354.66102600097656,-149.61516234700574,354.66102600097656,-86.85403589043689
425.5932312011719,-86.32899087689567,425.5932312011719,-87.97789846475858,425.5932312011719,-89.27975133156502,425.5932312011719,-82.77309344573321,425.5932312011719,-1.5463149409109216,425.5932312011719,-12.848836913424424,425.5932312011719,-149.9930099804433,425.5932312011719,-86.99404092770216
496.5254364013672,-86.44966978296283,496.5254364013672,-88.04151058154652,496.5254364013672,-89.28231431890246,496.5254364013672,-83.08879704160552,496.5254364013672,-1.6047655490791444,496.5254364013672,-12.999376808040685,496.5254364013672,-150.36627676008828,496.5254364013672,-87.12798705711036
567.4576416015625,-86.56533550698609,567.4576416015625,-88.10256232101307,567.4576416015625,-89.2847760235844,567.4576416015625,-83.39064390334688,567.4576416015625,-1.6638157957095747,567.4576416015625,-13.147118623158748,567.4576416015625,-150.73505897785776,567.4576416015625,-87.25615976131436
638.3898468017578,-86.67620503438631,638.3898468017578,-88.16115905539648,638.3898468017578,-89.2871404564637,638.3898468017578,-83.67930380124439,638.3898468017578,-1.723440804371109,638.3898468017578,-13.292134492478219,638.3898468017578,-151.09945008457157,638.3898468017578,-87.37882910931131
709.3220520019531,-86.78248526127213,709.3220520019531,-88.2174016410147,709.3220520019531,-89.28941146911473,709.3220520019531,-83.95540899335239,709.3220520019531,-1.7836167608973474,709.3220520019531,-13.434495997555729,709.3220520019531,-151.45954076912207,709.3220520019531,-87.49625076407074
780.2542572021484,-86.88437351751482,780.2542572021484,-88.27138662477701,780.2542572021484,-89.29159276014552,780.2542572021484,-84.21955674933454,780.2542572021484,-1.8443208308853645,780.2542572021484,-13.574273725772969,780.2542572021484,-151.81541906901643,780.2542572021484,-87.60866689726312
851.1864624023438,-86.98205806055901,851.1864624023438,-88.32320644137579,851.1864624023438,-89.29368788131168,851.1864624023438,-84.47231167504134,851.1864624023438,-1.9055310974384865,851.1864624023438,-13.711536931015111,851.1864624023438,-152.1671704692774,851.1864624023438,-87.71630703609617
922.1186676025391,-87.07571853931319,922.1186676025391,-88.37294960024256,922.1186676025391,-89.29570024337096,922.1186676025391,-84.71420784973142,922.1186676025391,-1.9672265032153933,922.1186676025391,-13.84635330465694,922.1186676025391,-152.51487799800512,922.1186676025391,-87.81938884543383
993.0508728027344,-87.3832632540159,993.0508728027344,-75.74023025341995,993.0508728027344,-74.24350361000253,993.0508728027344,-85.50644979711655,993.0508728027344,-2.3089284148907043,993.0508728027344,-2.0440571440557225,993.0508728027344,-153.7383424908654,993.0508728027344,-81.7264910568808
